"product","gene","rank"
2.88140778943078,"MALAT1",1
2.41603689894959,"CADM2",2
2.03536627790811,"SYT1",3
1.97569143343404,"LPHN3",4
1.91665886187041,"GALNTL6",5
1.6847885353288,"CDH18",6
1.67831394725731,"BCYRN1",7
1.59461017751668,"CBLN2",8
1.58896839334459,"RALYL",9
1.55484201159346,"PCDH9",10
1.5049038444975,"CDH9",11
1.42225193367423,"RFX3",12
1.39949984990752,"AC011288.2",13
1.3944538488312,"EPHA6",14
1.38387031893956,"PTPRD",15
1.37912110675718,"CCK",16
1.34940812767337,"LINGO1",17
1.3151395080275,"RASGEF1B",18
1.25678576845355,"PPFIA2",19
1.24776808280917,"CSMD3",20
1.23592019623633,"ACTB",21
1.20205502764764,"LSAMP",22
1.19160621436392,"NRXN3",23
1.18440583024027,"CALM1",24
1.17688446230346,"ATP2B1",25
1.15898421725699,"CKB",26
1.15404869223156,"KHDRBS2",27
1.13182932959245,"MEF2C",28
1.12091040031469,"ARPP21",29
1.11745003339442,"LINC00486",30
1.10944283129571,"OPCML",31
1.10395742700375,"SNAP25",32
1.01655098080521,"DAB1",33
1.00567628550612,"TTTY14",34
0.989555927852781,"PEX5L",35
0.982485610020039,"PCDH11Y",36
0.978959074173957,"CNTNAP2",37
0.95655544760027,"NLGN4Y",38
0.9484771785463,"KIAA1217",39
0.941277288892866,"KCND2",40
0.926855949797691,"APP",41
0.926196758511516,"OLFM3",42
0.923163549830083,"NLGN1",43
0.91809649006233,"LRRTM3",44
0.909863079496657,"NUTM2A-AS1",45
0.898835118937712,"GALNT13",46
0.891350693382291,"TCF4",47
0.870026641980278,"MEG3",48
0.855098544799907,"TMSB10",49
0.849680326028374,"GABRG2",50
0.849649399623811,"LRRC7",51
0.848312537858259,"NRGN",52
0.839776891997079,"PPP3CA",53
0.821008750878747,"CALM3",54
0.818050841922958,"NEGR1",55
0.815145130738125,"RAPGEF2",56
0.81291698689621,"PRKACB",57
0.811830666008277,"FBXW7",58
0.806964822998809,"ANKRD30BL",59
0.805353672787082,"LINC01378",60
0.803900567938788,"VSNL1",61
0.794847800555282,"CDH10",62
0.779742174849135,"EPHA5",63
0.779721433496947,"PCDH7",64
0.773952744660638,"RP11-289H16.1",65
0.771357594105151,"UCHL1",66
0.77063441781412,"ARL17B",67
0.765823198222478,"GPM6A",68
0.765764345033126,"HS6ST3",69
0.761423745343693,"RTN3",70
0.75823990891651,"GRIK2",71
0.752194286626133,"MAN1A1",72
0.749796082165257,"ANKRD36",73
0.737776881443002,"ALDOA",74
0.737232258525004,"DOK6",75
0.731028970360398,"SERPINI1",76
0.730533167387553,"APLP1",77
0.719227007475503,"NKAIN2",78
0.718373381249773,"RP11-384F7.2",79
0.715074349995675,"PDE4B",80
0.708821267043998,"MIR99AHG",81
0.70745561795974,"MBNL1",82
0.707233331551815,"KANSL1",83
0.692451365992522,"GRM1",84
0.690025399782144,"CAMK2N1",85
0.68601291288178,"PEBP1",86
0.682742183769346,"CLU",87
0.682237267194061,"CELF2",88
0.681349086233295,"RTN1",89
0.679517182333367,"YWHAH",90
0.679240176052499,"CHN1",91
0.678762445148474,"GABRB2",92
0.674064971836823,"TBC1D19",93
0.663519097406692,"AHI1",94
0.658510300903181,"PBX1",95
0.655392412273278,"RASGRF2",96
0.655352741601117,"KHDRBS3",97
0.655236323413608,"RGS4",98
0.64817531090343,"ENC1",99
0.644888691123692,"HOMER1",100
0.643337202090153,"AGBL4",101
0.638404671700935,"TSC22D1",102
0.636733338321644,"PTPRK",103
0.628408195704734,"SLC26A3",104
0.619649054246194,"CNTN1",105
0.618705376112212,"KCNH7",106
0.612656745116378,"FUT9",107
0.612419566453973,"PHYHIP",108
0.609843243664678,"PIK3R1",109
0.608242383246951,"PVRL3",110
0.607305904783415,"CHL1",111
0.604856806541857,"NECAB1",112
0.60415612739207,"BASP1",113
0.600861630828154,"SOX5",114
0.597923674255258,"SPARCL1",115
0.595184768349474,"NGFRAP1",116
0.594531807978133,"RP11-112J1.1",117
0.594265170715642,"TMEM59L",118
0.588703126683355,"SLIT2",119
0.584403952829059,"GRID2",120
0.581597681362169,"NPAS4",121
0.580553020114924,"FTH1",122
0.578431739691608,"UTY",123
0.577554961669343,"CNKSR2",124
0.575146597745741,"USP9Y",125
0.566253587095239,"KCNJ3",126
0.557040062682262,"LRP1B",127
0.55377723266836,"SSBP2",128
0.553023573131825,"RAB3A",129
0.547403656350522,"LINGO2",130
0.540011307658948,"ROBO1",131
0.530661768704395,"MAP1B",132
0.529992912274848,"MAP7",133
0.507108831202685,"GAPDH",134
0.498727222200069,"MAPRE2",135
0.4858996807573,"MEIS2",136
0.485217701323418,"HDAC9",137
0.485187544780418,"RBFOX3",138
0.485182852788661,"CPEB4",139
0.481493714468225,"KCTD8",140
0.480953772619177,"TESPA1",141
0.47891354581941,"BEX1",142
0.477789654031375,"TPT1",143
0.475634255062269,"ATP1B1",144
0.472213294203203,"COL24A1",145
0.471743634083464,"CLTC",146
0.470905460943263,"SNCA",147
0.470256122623051,"MEG8",148
0.470014462518828,"ATP1A1",149
0.469635513546956,"SYN3",150
0.469402311109381,"ATL1",151
0.468778784162315,"TUBA1A",152
0.465271197335831,"TMEFF2",153
0.460734740705224,"C9orf16",154
0.459542745074089,"BRINP3",155
0.459445116845894,"COL5A2",156
0.454724841994709,"MTATP6P1",157
0.452389578395397,"FAIM2",158
0.4523561537604,"ANKRD36C",159
0.451627327751564,"SLC22A17",160
0.448677160001215,"NEFL",161
0.445468948080256,"KIAA1377",162
