"Dim5","gene","rank"
1.44317317008972,"MALAT1",1
1.20584321022034,"PTPRD",2
1.18386566638947,"PCDH9",3
1.14752066135406,"CNTNAP2",4
1.14245879650116,"CADM2",5
1.11093032360077,"RASGEF1B",6
1.0698744058609,"NRXN3",7
1.04644179344177,"SYT1",8
0.953552544116974,"LINC00486",9
0.735315024852753,"AC011288.2",10
0.725233852863312,"LSAMP",11
0.714458763599396,"OPCML",12
0.700601398944855,"MEG3",13
0.697022914886475,"CELF2",14
0.692792534828186,"LPHN3",15
0.691882014274597,"HS6ST3",16
0.667872905731201,"NEGR1",17
0.665754556655884,"LRRC7",18
0.665051698684692,"CHN1",19
0.656418919563293,"BCYRN1",20
0.655030250549316,"RALYL",21
0.62402081489563,"LINGO2",22
0.600803434848785,"KHDRBS2",23
0.594818949699402,"AGBL4",24
0.590842127799988,"NLGN1",25
0.587627232074738,"CSMD3",26
0.580801069736481,"NRGN",27
0.575991690158844,"PHACTR1",28
0.56245094537735,"PPFIA2",29
0.558681309223175,"FAM19A1",30
0.552349328994751,"SNAP25",31
0.544781982898712,"GALNTL6",32
0.535701632499695,"LINGO1",33
0.535290241241455,"PPP3CA",34
0.534742593765259,"NKAIN2",35
0.531676471233368,"INO80D",36
0.517272770404816,"ENC1",37
0.507559537887573,"CDH18",38
0.490533769130707,"ARPP21",39
0.477645188570023,"LRP1B",40
0.469655573368073,"PEX5L",41
0.455965787172318,"PCDH7",42
0.44946414232254,"LRRC4C",43
0.448767423629761,"MARCH1",44
0.448051244020462,"GPM6A",45
0.442077189683914,"ROBO2",46
0.429941177368164,"UNC5D",47
0.429856091737747,"ATP2B1",48
0.423682421445847,"MEF2C",49
0.422119975090027,"SNTG1",50
0.411136239767075,"CNTN1",51
0.4110207259655,"AUTS2",52
0.397262752056122,"PTPRK",53
0.389964759349823,"SLC26A3",54
0.389575570821762,"CALM1",55
0.389310121536255,"CTNNA2",56
0.386556655168533,"CAMK2N1",57
0.385669499635696,"MIR99AHG",58
0.379653066396713,"GRIK2",59
0.374986201524734,"CNKSR2",60
0.371842324733734,"EPHA6",61
0.369024932384491,"RTN3",62
0.361763030290604,"ASIC2",63
0.361045926809311,"RFX3",64
0.360409766435623,"KCNH7",65
0.359538316726685,"HDAC9",66
0.359497994184494,"MAP1B",67
0.350273817777634,"TCF4",68
0.349948555231094,"NTRK2",69
0.349577397108078,"RIMS1",70
0.344229131937027,"RTN1",71
0.34187313914299,"KHDRBS3",72
0.336744397878647,"GRIN1",73
0.32705757021904,"RP11-384F7.2",74
0.326838761568069,"RAPGEF2",75
0.32641476392746,"OLFM3",76
0.325684636831284,"GABRB2",77
0.324968993663788,"NTM",78
0.324943423271179,"APP",79
0.324834853410721,"KCND2",80
0.324791967868805,"NECAB1",81
0.323896646499634,"SLC17A7",82
0.320614010095596,"GRIN2B",83
0.319748312234879,"CHL1",84
0.316164761781693,"EFNA5",85
0.314833521842957,"FBXW7",86
0.312913507223129,"NRG1",87
0.30590808391571,"PCLO",88
0.304832190275192,"BRINP3",89
0.300236403942108,"PRKACB",90
0.300152659416199,"CA10",91
0.298499554395676,"CAMK2A",92
0.295927435159683,"LINC01378",93
0.2952860891819,"CAMK1D",94
0.293417185544968,"LRRTM3",95
0.291661530733109,"ACTB",96
0.288519114255905,"RTN4",97
0.286751717329025,"PRNP",98
0.283460885286331,"TSC22D1",99
0.282417327165604,"HOMER1",100
0.281426340341568,"GLS",101
0.280852377414703,"ATP1B1",102
0.27964922785759,"SYN2",103
0.273591935634613,"DAB1",104
0.268156409263611,"MTATP6P1",105
0.26237565279007,"GRID2",106
0.261159986257553,"LMO4",107
0.26098495721817,"MGAT4C",108
0.259269148111343,"YWHAG",109
0.259091287851334,"PHYHIP",110
0.255005568265915,"CBLN2",111
0.254836171865463,"VSNL1",112
0.25260528922081,"TTTY14",113
0.252484351396561,"ZFPM2",114
0.251904487609863,"KIAA1217",115
0.250938385725021,"ARPP19",116
0.24562706053257,"CNTN5",117
0.245063960552216,"PVRL3",118
0.244832068681717,"OLFM1",119
0.24300017952919,"GUCY1A2",120
0.242986589670181,"CPEB4",121
0.240575656294823,"CALM3",122
0.239919096231461,"CKB",123
0.239805191755295,"PIK3R1",124
0.2376579195261,"ATP2B2",125
0.236655712127686,"MAST4",126
0.234337940812111,"RP11-289H16.1",127
0.232628434896469,"RP11-154D17.1",128
0.231939300894737,"PTPRT",129
0.231399983167648,"CDH9",130
0.230925709009171,"ANKRD30BL",131
0.2294070571661,"PREPL",132
0.229167282581329,"MIR137HG",133
0.228636965155602,"YWHAZ",134
0.226223692297935,"TUBA1B",135
0.225966840982437,"NPTN",136
0.225674539804459,"AHI1",137
0.223032504320145,"CACNA1A",138
0.222922176122665,"CACNB2",139
0.22224535048008,"PDE4B",140
0.220706552267075,"GDI1",141
0.220140442252159,"IDS",142
0.219398364424706,"CLSTN1",143
0.218608781695366,"CNTNAP5",144
0.217694371938705,"GABRG2",145
0.217548087239265,"NLGN4Y",146
0.21714286506176,"SLC24A2",147
0.216779872775078,"LINC00657",148
0.216445073485374,"MAPK1",149
0.213904306292534,"CAMK2B",150
0.213771879673004,"ERICH1-AS1",151
0.213663831353188,"GABRG3",152
0.211537346243858,"FSTL4",153
0.2113326638937,"SERPINI1",154
0.211323902010918,"PBX1",155
0.210561290383339,"PLCL1",156
0.210548311471939,"CCK",157
0.209198892116547,"SSBP2",158
0.208905801177025,"MBNL1",159
0.207176983356476,"CELF4",160
0.207046777009964,"BASP1",161
0.204321786761284,"PRKAR1B",162
0.204197749495506,"FZD3",163
0.203124016523361,"YWHAH",164
0.202468544244766,"ANKRD36",165
0.202332600951195,"FUT9",166
0.198325783014297,"LINC-PINT",167
0.198319375514984,"PJA2",168
0.197472512722015,"STXBP1",169
0.197039395570755,"CDH10",170
0.19693149626255,"DNM1",171
0.196815669536591,"PDE7B",172
0.196810945868492,"DOK6",173
0.195354998111725,"DPYSL2",174
0.194576606154442,"KCNJ3",175
0.194269433617592,"SLIT2",176
0.193970397114754,"CADPS2",177
0.193056717514992,"KCNC2",178
0.191550329327583,"MEF2A",179
0.190873011946678,"SYP",180
0.190798342227936,"NPTXR",181
0.189977094531059,"PDZD2",182
0.18937960267067,"SYN3",183
0.188428103923798,"MEG8",184
0.188395246863365,"TSPYL1",185
0.187900081276894,"SLC39A10",186
0.18693982064724,"HSP90AB1",187
0.183487802743912,"SLC44A5",188
0.183278262615204,"TMEFF2",189
0.182326793670654,"KCNQ3",190
0.18157447874546,"NTNG1",191
0.181091383099556,"CDK5R1",192
0.180829852819443,"SLC35F3",193
0.180639624595642,"RGS4",194
0.180038765072823,"KIRREL3",195
0.179793938994408,"CDH2",196
0.17963533103466,"SCN1A",197
0.179560467600822,"SNCB",198
0.177091687917709,"ANKRD36C",199
0.176676273345947,"RCAN2",200
0.176598370075226,"RP11-191L9.4",201
0.175928369164467,"LY86-AS1",202
0.17586225271225,"WASF1",203
0.17497019469738,"SNCA",204
0.174728021025658,"CADM1",205
0.174375101923943,"DCC",206
0.174295470118523,"DLGAP2",207
0.173759818077087,"GABRA1",208
0.171487256884575,"CAP2",209
0.170851588249207,"NOL4",210
0.170298457145691,"NDFIP1",211
0.170099079608917,"SGCZ",212
0.169646844267845,"SHISA9",213
0.168659523129463,"NDRG4",214
0.168091148138046,"HIVEP2",215
0.167186722159386,"NCKAP1",216
0.167178079485893,"SEPT7",217
0.166711673140526,"GALNT13",218
0.166560724377632,"DNAJC6",219
0.165203303098679,"IMMP2L",220
0.164819732308388,"PAM",221
0.16476021707058,"LARGE",222
0.164220213890076,"CPE",223
0.162924200296402,"LMO3",224
0.161707371473312,"APLP1",225
0.161654606461525,"NSF",226
0.161623686552048,"MPDZ",227
0.161522090435028,"CHD5",228
0.160391643643379,"PCDH11Y",229
0.160345524549484,"HSD17B12",230
0.15931099653244,"PDP1",231
0.158982649445534,"MAPRE2",232
0.158515602350235,"FAM49A",233
0.157857790589333,"USP9Y",234
0.155436292290688,"UCHL1",235
0.15536841750145,"TMEM161B-AS1",236
0.154820740222931,"NR3C1",237
0.154684782028198,"ATP2A2",238
0.152588501572609,"BEX1",239
0.15254420042038,"NEFL",240
0.152499541640282,"TMEM232",241
0.152154594659805,"NDFIP2",242
0.151870205998421,"DDX17",243
0.151465803384781,"CREG2",244
0.151005253195763,"SPRED1",245
0.150920063257217,"ZDHHC21",246
0.150896281003952,"EPHA5",247
0.15050844848156,"PTCHD1-AS",248
0.150092631578445,"ATL1",249
0.149531677365303,"CABP1",250
0.148771315813065,"TMEM59L",251
0.14813120663166,"NUCKS1",252
0.147997006773949,"COL5A2",253
0.147996217012405,"PSAP",254
0.147594109177589,"SERPINE2",255
0.147488340735435,"TENM4",256
0.147355899214745,"GLIS3",257
0.146995633840561,"FAM153B",258
0.146419301629066,"ZNF804B",259
0.146323516964912,"TRHDE",260
0.146287262439728,"SCN3B",261
0.146275326609612,"TMEM117",262
0.146273285150528,"EML6",263
0.145802199840546,"KLC1",264
0.144345819950104,"TUBB2A",265
0.144083485007286,"ZBTB18",266
0.143813207745552,"CAMK2D",267
0.143781736493111,"ELAVL4",268
0.143761649727821,"SERINC1",269
0.143636733293533,"NRXN2",270
