NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CADM2	3	0.8196191191673279	0.21205191	Yes	
row_1	ACTB	15	0.5293653011322021	0.33975255	Yes	
row_2	NEGR1	17	0.5109385251998901	0.47283143	Yes	
row_3	YWHAH	60	0.34209105372428894	0.5197153	Yes	
row_4	THY1	78	0.29247426986694336	0.5791131	Yes	
row_5	CNTN1	92	0.26327797770500183	0.6349339	Yes	
row_6	SLIT2	230	0.15757445991039276	0.536352	No	
row_7	ATP1A3	234	0.15582780539989471	0.57418597	No	
row_8	ACTG1	278	0.13783082365989685	0.56643856	No	
row_9	PKD1	458	0.09216330945491791	0.40778798	No	
row_10	CADM3	493	0.08652253448963165	0.39576727	No	
row_11	SIRPA	604	0.07113111019134521	0.3020767	No	
row_12	CX3CL1	606	0.07062791287899017	0.31959215	No	
row_13	BAIAP2	619	0.06854044646024704	0.3253238	No	
row_14	CDH11	727	0.050417907536029816	0.22926122	No	
row_15	NRXN2	780	0.04129692167043686	0.18698454	No	
row_16	FSCN1	832	0.034554995596408844	0.14395982	No	
row_17	SLC30A3	859	0.028282515704631805	0.124825105	No	
row_18	SDC3	876	0.02360454574227333	0.11467712	No	
row_19	MVD	899	0.017950739711523056	0.096916534	No	
row_20	CTNNA1	908	0.016029557213187218	0.09295203	No	
