,0,1,2,3,4,5,6,7
MLLT11,1.6413535,1.7656314,1.4319386,1.6924798,1.4504328,1.61629,1.7226135,1.699108
CELF3,1.2155604,1.015901,1.4898525,1.3528388,1.5772029,1.4224945,1.5204117,1.4564319
SYT11,1.7664647,1.8046,1.6150669,1.517496,1.2924064,1.8518417,1.2075037,1.5449998
CADM3,1.6189733,1.602431,1.6899793,1.3790281,1.7471839,1.7031584,1.4637038,1.5510561
PEA15,2.1360278,1.7792726,1.6175681,1.164844,1.7040797,1.5294514,1.0745416,1.5065647
PFDN2,1.6834352,1.570474,1.2762443,1.5095495,1.5712742,1.8069485,1.737081,1.3947039
RGS4,1.6456448,1.4612161,1.4438813,1.2029376,1.7788173,1.8132503,1.7227714,1.3407334
PBX1,1.6001319,1.7000103,1.9297723,1.6736838,1.8161126,1.5254191,1.9180547,1.4435769
ILDR2,1.412433,1.686725,1.9071283,1.3412477,1.4755783,1.6470199,1.7513342,1.4723322
ATP1B1,1.9194225,1.478754,2.2698963,1.4220859,1.4609314,1.7223513,1.8575108,1.7949251
BRINP3,1.3323305,2.2160203,1.8268603,1.5918114,2.0497034,2.104163,1.8319666,1.6289718
RP11-92K2.2,1.524932,1.6218396,1.5277487,1.6135112,1.5248804,1.1864396,1.639707,1.4725819
MIR181A1HG,1.929611,1.4175096,1.0555645,1.5535603,1.344829,1.5372409,1.5913255,1.8535944
IPO9-AS1,1.359067,1.6432152,1.4330299,1.4752182,1.4377158,1.6406991,1.593691,1.5763503
ARL8A,1.6138197,1.3295178,1.6773175,1.3284101,1.3554999,1.4033816,1.5285238,1.6672279
NUCKS1,2.0497894,1.8813672,1.609062,1.73986,1.3755376,1.6094364,1.5434389,2.076075
C1orf115,1.4326769,1.3034568,1.5810568,1.4593827,1.6922661,1.326388,1.9622749,1.2495502
ARF1,1.7323018,1.1958216,1.7818537,1.3305833,1.6170123,1.5152932,1.4920349,1.361143
GUK1,1.4973016,1.1581846,1.5706257,1.341825,1.4349277,1.8115984,0.97700876,1.6311182
RNF187,1.4903247,1.2689502,1.5541995,1.1239572,1.1409914,1.3765867,1.6261756,1.4006238
SLC35F3,1.5150995,1.3306712,1.2130513,1.486235,1.3554131,2.0183234,1.471233,1.4878957
TOMM20,1.7855568,1.5901884,1.5571215,1.37467,1.359588,1.8671514,1.3242345,1.5019788
CHRM3-AS2,1.333544,1.2696916,1.2462732,1.614746,1.5293417,1.046034,1.3266416,1.1864471
ZBTB18,1.4549224,1.4996932,1.413806,1.5239917,1.4363606,1.3003205,1.3008859,1.778865
KIF26B,1.5853235,1.8436545,1.5409031,1.9976852,1.3671583,1.4196507,2.4118257,1.4198307
OR2L13,1.6397855,1.5669565,1.2984911,1.8519766,1.4119004,1.6318185,1.4964603,1.7575341
HPCAL1,1.4263923,1.2120633,1.5303178,1.1738894,1.5477729,1.6995089,1.6586713,0.98973405
KCNF1,1.6809045,1.3728803,1.161253,1.2774098,1.3106896,1.0838963,1.030923,1.3627013
FAM49A,1.6369474,1.8744948,1.6387335,1.4248376,1.1361693,1.6126457,1.5404295,1.6315612
VSNL1,1.9540981,1.5317632,1.6546309,1.32839,1.7920916,1.2670599,1.7342812,1.4763285
KLHL29,1.2398496,1.4686121,1.5033813,1.386727,1.8340904,1.5908815,1.6033,1.8106253
EFR3B,1.4000249,1.8447196,1.7244378,1.342381,1.6228249,1.3712786,1.9200428,1.5087767
MAPRE3,2.3971355,1.4945067,1.4854386,1.5172542,1.5645037,1.797212,1.3980845,1.6147066
SLC30A3,1.4973878,1.3272892,1.4990318,1.4838356,1.568012,1.7661203,1.714555,1.2369772
BIRC6-AS2,0.89953685,1.676904,1.4461086,1.4188825,1.2129406,1.3300542,1.4020596,1.4000505
LINC00486,1.7296717,1.8514023,1.9588864,1.911965,1.8431834,2.0146086,1.8939484,1.8203151
SRSF7,1.6976526,1.4797223,1.8003781,1.4440612,1.3908421,1.5099041,1.5768337,2.0525799
SLC8A1-AS1,1.5334642,1.2360727,1.1843404,1.442422,1.3898714,1.1190814,1.2759091,1.4044596
PREPL,1.8621056,1.3914703,1.7467854,1.7057936,1.4996387,1.4937831,1.7159381,1.1683073
BCYRN1,1.9910501,1.736188,1.972218,2.191733,1.6414863,2.417831,1.671241,1.9454888
EML6,1.8423214,1.6287328,1.5863097,1.9781069,1.4037541,1.3750902,2.2537112,1.7939837
RTN4,1.8389925,1.2120633,1.4286493,1.482081,1.5714267,1.6733937,1.7285976,1.7111496
BCL11A,1.6166357,1.9217093,1.9062705,1.4484347,2.189147,1.7419109,1.5102224,1.682138
MDH1,1.6797664,1.5508102,1.5813963,1.2667667,1.6419402,1.476961,1.6460716,1.5902854
SPRED2,1.5109403,1.6416763,1.4374164,1.5709739,1.3160353,1.7145419,1.3627955,1.1037167
AC074391.1,1.5623678,1.1396775,1.6845208,1.3998399,1.303508,1.3157327,2.0088706,1.2008224
PCBP1,1.3877528,1.3918061,1.6197903,1.6526976,1.6448281,1.5703984,1.4929355,1.6766554
CTNNA2,1.8566463,1.8782794,1.5713009,1.8747828,1.0725505,1.8285396,1.6726114,1.7901319
TMSB10,1.7991815,1.3650203,1.3534083,2.0424042,1.3298239,1.4801412,1.5389769,1.7366881
AC027612.6,1.4896053,1.8699884,1.6285433,1.3971119,2.1623092,1.717603,1.7705888,1.4493821
ANKRD36C,1.7298855,1.2693429,1.6291704,1.7143033,1.592995,1.8803378,1.2291403,1.6422851
ANKRD36,1.3333154,1.6851798,1.4448818,1.7583858,1.552393,1.9461163,1.7262981,1.5609726
AC159540.1,1.5570067,1.3115487,1.8938657,1.3165917,1.4926935,1.5966088,1.3804929,1.6544323
COX5B,1.6062361,1.5257974,1.0951906,1.3868034,1.3907777,1.1453141,1.6236775,1.5965255
NPAS2,1.2589709,1.6618236,1.6545978,1.3863027,1.6922135,1.553252,1.5951738,1.6379244
CREG2,1.9271748,1.367274,1.5429401,1.7528039,1.4467783,1.3066232,1.800544,1.5177728
LINC01106,1.492755,2.337402,1.4228166,1.775613,1.7257069,1.4009187,1.3364285,1.3918265
CNTNAP5,1.4361091,1.6989999,1.8455733,1.5542823,1.3679173,2.069532,1.996949,1.4355555
BIN1,1.546722,1.6514047,1.3952934,1.3449503,1.3751972,1.6764582,1.4788642,1.3495396
MZT2B,1.5060387,1.7844988,1.4006246,1.9942472,1.6010678,1.9089922,1.443991,1.4730611
PLEKHB2,1.4337457,1.3718439,1.894535,1.1905162,1.5544438,1.7320696,1.3501402,1.9190378
ANKRD30BL,2.05767,1.6129873,1.677808,1.6694745,1.7748654,1.3956057,1.4478233,1.6021875
LRP1B,1.637913,2.0720127,1.4728222,1.6380922,1.8321466,1.6639713,1.5215054,1.949319
GALNT13,1.6523569,1.8049856,1.5919546,1.83446,1.8007506,1.3027613,1.6400535,1.2313501
KCNJ3,2.0575936,1.557476,1.5570208,1.3972689,1.6037594,1.7241217,1.4658489,1.8383678
KCNH7,1.7686417,1.7089387,1.9597689,2.001615,1.4504288,1.260742,1.6838655,1.5783464
SCN1A,1.4221337,1.5131655,1.76305,1.9380841,2.0593326,2.147219,1.2314124,1.7530135
AC007969.5,1.9429243,1.1336197,1.8552195,1.4827449,1.5954274,1.6206781,1.3760588,1.5311884
CHN1,1.593868,1.6784275,1.9471409,1.8535708,1.7737877,1.7111349,1.3933666,1.7277144
ATP5G3,1.3371531,1.5392807,1.5747784,1.3874798,1.7846234,1.2091085,1.2314514,1.5255615
AC016739.2,1.7344773,1.2633411,1.3405201,1.7558662,1.7233837,1.6249512,1.1867688,1.763089
HNRNPA3,1.6845944,1.3105495,1.6645027,1.6316568,1.4532332,1.3381699,1.4639664,1.2842034
TTN-AS1,1.1367861,1.4724946,1.758966,1.6317639,1.1501396,2.0036907,1.9081132,1.5203398
NCKAP1,1.6644132,1.5441601,1.4580909,1.471098,1.5745227,1.5681994,1.3753055,1.7360096
ZNF804A,1.6184087,1.5536292,1.5351518,1.3862863,1.672545,1.7985972,1.8374873,1.5145243
FAM171B,1.6440736,1.3661152,1.3133593,1.5242087,1.3843871,1.4060314,1.6546159,1.3289384
LINC01090,1.6372128,1.4095857,1.4445055,1.1570076,1.5763471,1.40131,1.3473781,1.4537579
COL5A2,1.3823771,1.6654415,1.6484668,1.226843,1.5018609,1.7402983,1.406911,1.5897198
GLS,1.7702409,1.4500614,2.2643442,1.4905672,1.7007215,1.5269227,1.3724817,1.4747795
STAT4,2.0684955,1.2970624,1.2609345,1.4711624,1.3971884,1.7524618,1.2246304,1.5376645
TMEFF2,1.7536592,1.8275274,1.5537465,1.5969361,1.307927,1.6733325,1.5093685,2.1658506
SLC39A10,1.1947855,1.5888418,1.3132441,1.3872592,1.5259271,1.546605,1.644774,1.7764221
PLCL1,1.7534584,1.8122079,1.5439328,2.2749834,1.6576655,1.2477058,1.5432899,1.3991686
RAPH1,1.5298333,1.3443658,1.2448268,1.5987517,1.9871356,1.6973646,1.4251363,1.6373665
INO80D,1.5728492,1.8975294,1.352032,1.7661622,1.5678266,1.609077,1.8204433,1.8297478
IGFBP5,1.5141883,1.3780533,1.4323257,1.3572412,1.3550645,1.7617155,1.911048,1.5689644
AC007563.5,1.2058105,1.8036453,1.4250852,1.5858016,1.8298568,1.6101203,1.4140693,1.6702932
CDK5R2,0.99712014,1.4249196,1.3768162,1.4136103,1.3120282,1.2622904,1.210609,1.5078535
TUBA4A,1.5675117,1.583981,1.937999,1.5610162,2.1194026,1.4194189,1.5451571,1.5630251
DNAJB2,1.4155915,1.7861392,1.4947617,1.2499865,1.8720706,1.3302114,1.250633,1.4157511
PTPRN,1.4874458,1.7273048,1.526608,1.5788972,1.7590252,1.3223301,1.5599759,1.2023624
AC114765.1,1.6228317,1.5685121,1.570593,1.421465,1.1208345,1.1921996,1.3664567,2.00851
ACSL3,1.1820525,1.671083,1.0802059,1.4775828,1.433604,1.3373957,1.2414836,1.3999698
SCG2,1.2083707,1.2041742,1.553372,1.430514,1.184356,1.4230621,1.4032763,1.2326467
SERPINE2,1.4538835,1.644569,1.3731992,1.6362072,1.3693517,1.1959555,1.8646476,1.1595423
SPHKAP,1.4365882,1.5955395,2.0378196,1.437646,1.6786715,1.3819762,1.1857501,1.5198723
PID1,1.742063,1.3807672,1.0771512,1.779411,1.7074056,1.407165,1.825237,1.5694755
ITM2C,1.3135494,1.2225375,1.777494,1.4014845,1.7838473,1.2173295,1.4615207,1.2914479
PTMA,1.6027275,1.6524324,1.4429431,1.3529683,1.3013092,1.4578553,1.2450368,1.2492173
MYEOV2,1.8476284,1.7816528,1.5789794,1.4001426,1.7242827,1.2221454,1.3796217,1.9475975
GPC1,1.1441857,1.7411726,1.5421646,1.7270014,2.3367689,1.2772038,1.2917237,1.4748827
KIF1A,1.4434836,1.8646904,1.8363523,1.5039865,1.5746628,1.4703059,1.841337,1.3709126
SNED1,1.5676075,1.6900225,1.5488907,1.62927,1.7046306,1.7729952,1.6103697,1.4526953
CHL1,1.4947739,1.826745,1.3607614,1.2560121,1.641587,1.6026492,1.7724025,1.833362
SUMF1,1.3010424,2.093453,1.3949198,1.5683492,1.0425727,1.6726881,1.5631231,1.5333145
THUMPD3-AS1,1.6603028,1.233284,1.4603525,1.3273478,1.9103895,1.4997092,1.4843739,1.605719
BRK1,1.5305346,1.8594513,1.4805546,1.2441094,1.1472825,1.5350014,1.34461,1.6539423
ATP2B2,2.0265234,1.7835095,2.570445,1.5204716,1.7104509,1.3344147,2.0744631,1.5557345
SYN2,1.7992955,1.8029772,1.7799641,1.5762018,1.7557315,2.0140147,1.2828008,1.5385436
RFTN1,1.3817536,1.3820587,1.3817775,1.5585378,1.4615344,1.2202032,1.3313141,1.4766521
ARPP21,1.6230054,1.279578,1.2331427,1.5931072,1.3796303,1.4894465,2.1974792,1.4686236
CCK,1.4658933,1.2332674,1.0308654,1.6184899,1.2732286,1.3928921,1.9709575,1.4781177
TMA7,1.6016655,1.8132926,1.2667397,1.6268984,1.4766424,1.5191344,1.5568308,1.4869545
CAMKV,1.303697,1.9512367,1.6245996,1.2867857,1.5300858,1.7065637,1.4247001,1.6464165
WDR82,1.6913645,1.3219243,1.5145895,1.0837184,1.3996673,1.8787997,1.1491077,1.3861578
LRTM1,1.6150144,1.4318413,1.198103,1.7038244,1.6467657,1.3354472,1.7625012,1.0918701
SYNPR,1.5143802,1.2614101,1.495035,1.2690908,1.4565122,1.5705862,1.9174027,1.7688732
PRICKLE2,1.1193625,1.7537053,1.8210046,1.3038859,1.6199398,1.4470501,1.3036941,1.8704509
ADAMTS9-AS2,1.601658,1.7088723,1.4694055,1.3496554,1.4919841,1.7800653,1.2111652,1.2268891
FAM19A1,1.8181068,1.954516,2.1125772,1.4077904,1.9487631,1.7316091,1.7017926,1.8281096
ARL6IP5,1.5961317,1.4129189,1.5329701,1.3727739,1.6635036,1.5772257,1.4962949,1.2003213
ROBO2,1.7662961,1.8429996,1.3147761,1.5500432,1.7966373,1.8168672,1.798251,2.1308079
ROBO1,2.0765507,1.7938142,1.6122663,1.4784849,1.8666734,1.6410651,1.4006804,2.102926
CADM2,1.9661782,1.5317441,1.6608834,1.8789645,2.0799966,1.6654145,1.8006693,1.9318355
EPHA3,1.5038122,1.5305657,1.4879224,1.5938578,1.5072302,1.4481275,1.299734,1.7769468
EPHA6,1.5857996,1.6944299,2.0140698,1.7507813,2.0720234,1.8572283,2.020677,1.5541701
FILIP1L,1.7342811,1.3657559,1.4130553,1.3563826,1.714083,1.8891251,1.4032145,1.5080208
RP11-234A1.1,1.1537265,1.5757074,2.034202,1.4305757,1.3670174,1.5280986,1.6198672,1.1005857
PVRL3,1.8508536,1.6198492,2.024758,1.5637972,1.7676538,1.7126603,2.1385803,1.618994
TAGLN3,1.6275015,1.2539599,1.5892732,1.5565243,1.3152986,1.6941925,1.4225931,1.4978944
SIDT1,1.3806072,1.2162576,2.099676,1.2318555,1.3811703,1.658143,1.2070912,1.5840127
GAP43,1.4904631,1.6404543,1.764659,1.9417754,1.5840675,1.500799,1.5418835,1.6050314
LSAMP,1.7305524,1.7540233,1.9949895,1.7129551,2.5757601,1.6705992,2.1246088,1.3975887
LSAMP-AS1,1.3124279,1.5221759,1.0824699,1.6140057,1.8902175,1.5981419,1.484252,1.6452242
RP11-384F7.2,1.2412877,1.685043,2.0748136,1.274268,1.7654669,1.8854315,1.19155,1.8806727
RP11-384F7.1,1.3143778,1.2056403,1.2076172,1.5383583,1.7512611,1.5404353,1.4667301,1.5122148
ENPP7P4,1.314779,1.3478842,1.3074111,1.4029969,1.5760608,1.152997,1.3166891,1.2015362
CPNE4,1.5709428,1.6485087,1.6772544,1.5153842,1.5762956,1.801651,1.4034116,2.0693972
RAB6B,1.7276897,1.5927794,1.5195765,1.6840161,1.43047,1.6355215,1.4462831,1.2800146
CLSTN2,1.525691,1.9293746,1.4737842,1.6794024,1.4440212,1.8935882,1.5721846,1.4246718
P2RY14,1.1834865,1.4782667,1.4669869,1.4001758,1.8859466,1.7251506,1.6160963,1.6783901
IGSF10,1.3535575,1.3955842,1.4412736,1.7170608,1.5121415,1.6912819,1.1161441,1.4132202
MBNL1,1.5984877,1.2418693,1.4781834,1.7684432,1.5245376,1.8171557,1.4139384,1.5426314
LINC01322,1.9106817,1.1530164,1.8430994,1.3646436,1.7019885,1.6156731,1.3458616,1.4305377
SERPINI1,1.8050572,1.7769568,1.5518486,1.8704399,1.8487477,1.4793848,1.5854132,1.3003598
EGFEM1P,1.5767093,1.8501995,1.2901661,1.6057366,1.2150779,1.4822078,1.8625829,1.56112
SEC62,1.421497,1.5862682,1.3526322,1.434431,1.4966313,1.7862897,1.8670228,1.6781884
NLGN1,1.955183,1.6393766,1.9395471,1.7178823,1.9010255,1.3213764,1.9146177,1.8420106
NAALADL2,1.4974872,2.4773684,1.6107972,1.4801378,1.5533997,1.4621726,1.6237566,1.5639223
RP11-33A14.1,1.5916473,1.5902041,1.3429532,1.1054167,1.2206386,2.1487162,1.4342617,1.3607528
KCNMB2-AS1,1.5517967,1.5623772,1.4660578,1.6880398,2.104038,1.6268004,1.3394846,1.4616609
PEX5L,1.9843348,1.7588401,1.4366456,1.5658932,1.5040429,1.5449134,1.8524443,1.7291869
DGKG,1.4890155,1.7229942,1.4326476,1.1935557,1.5145855,1.8578295,1.4514334,1.369439
EIF4A2,2.0981605,1.8319317,1.8125759,1.2736648,1.4887543,2.0547268,1.5513128,1.6768252
LPP,1.8925482,1.7013179,1.5711032,1.260372,1.6550356,1.403001,1.4412776,1.4367075
ATP5I,1.7815173,1.3660392,1.4145526,1.4175975,2.3035233,1.5849546,1.8129889,1.4585556
CTBP1,1.7737232,1.3792747,1.5072992,1.5736501,1.5213187,1.1744695,1.3767313,1.1267784
C4orf48,1.3214675,1.2295164,1.580591,1.4843427,1.4753809,1.8233387,1.6015855,1.4055514
NAT8L,1.5379994,1.3873385,1.4265279,1.4006525,1.5911787,1.9763169,1.2537491,1.2482576
RGS12,2.090282,1.2668252,1.0872055,1.3786129,1.3745712,2.214618,1.5357486,2.0359852
CRMP1,1.7658908,1.5684777,1.4219494,1.5132518,1.1700121,1.4006027,1.6268284,1.5854294
SLIT2,1.4357791,1.4439738,1.4045225,1.6503017,1.5470958,1.6083134,1.6252642,1.5889393
