variable,value
20,0.9964683607599802
20,0.9936723742317801
20,0.9992908914262073
20,0.9994953866859826
20,0.9973031434936424
20,0.9994475187860898
20,0.9999349983062985
20,0.9996705061199367
20,0.9992994146494577
20,0.9999475810627599
20,0.9996958548998008
20,0.9995045086154024
20,0.9995715755142519
20,0.9998094595070489
20,0.9998433453427301
20,0.9999871916085054
20,0.9996222425075701
20,0.9993420280222362
20,0.589350585110687
20,0.9999338587962373
20,0.9970038527226495
20,0.9992332626354768
20,0.9987649637582865
20,0.6603813949962852
20,0.999972564386009
20,0.9947177424197684
20,0.9980863569098659
20,0.9994519747993054
20,0.9983384521178728
20,0.9997854716189156
20,0.6676214428684102
20,0.9996529552324539
20,0.9608266433251237
20,0.9994944643234196
20,0.9997770532048927
20,0.99908750767076
20,0.9985866570312413
20,0.9999323582208284
20,0.9998805319662523
20,0.9999172637280223
20,0.9959510495951862
20,0.9972402855710857
20,0.9881491872372355
20,0.9999256624598648
20,0.9942771067236298
20,0.999796427291575
20,0.9886986618530124
20,0.9978490120327532
20,0.9997668353973594
20,0.9992023170036972
100,0.9999388908685771
100,0.9989238853684712
100,0.9998991713798049
100,0.999768834163082
100,0.9991405564357004
100,0.9966765004972321
100,0.9830330031308232
100,0.9999334103089657
100,0.9020816573185594
100,0.9996794490860018
100,0.9997360599449676
100,0.9991912885712766
100,0.9998916668173448
100,0.8767780974576668
100,0.9858658591075564
100,0.8541500321542193
100,0.9998152225759535
100,0.9942298378579653
100,0.9997197116903405
100,0.999434463119692
100,0.9996373883352443
100,0.9996539035811324
100,0.9999352936845722
100,0.9999060557795486
100,0.9998002803264214
100,0.9998407957933982
100,0.9994150538119938
100,0.99994585200262
100,0.9999320367043711
100,0.9996725715188628
100,0.999983299110119
100,0.9999719955064794
100,0.9997286629984996
100,0.9999374724505627
100,0.999848037470233
100,0.9999269482770463
100,0.6211776782475474
100,0.9974200670666225
100,0.999528681627794
100,0.9983203811045724
100,0.9992880788217798
100,0.9983655655447619
100,0.9999039305591071
100,0.9997999487417941
100,0.9998515259156948
100,0.9998943558527652
100,0.9995614288248268
100,0.9335210389181154
100,0.9986432559353088
100,0.9991364114724994
250,0.9988997766948295
250,0.9998824080224255
250,0.9997951605860838
250,0.9947011812341392
250,0.7258312098884744
250,0.940606451733619
250,0.9959173504862143
250,0.9997398699055172
250,0.9962630419126168
250,0.9991975852773863
250,0.9954611600250576
250,0.999967295050975
250,0.9999117715763961
250,0.9990619043648429
250,0.9998718529877573
250,0.9999340590790163
250,0.9992487640611537
250,0.9999354436356376
250,0.9997086813750792
250,0.9989255316232827
250,0.9998696517881313
250,0.8086080313287024
250,0.9988025859891619
250,0.9991851094752775
250,0.999716705101176
250,0.9997438706001404
250,0.9999794536899421
250,0.999958337621906
250,0.9991415054422809
250,0.9999005696471028
250,0.999853553541832
250,0.9993147091976204
250,0.9959857522173968
250,0.9974152501974749
250,0.9922207438413236
250,0.9999244356807414
250,0.9969767241910065
250,0.9998561620187397
250,0.9997705115173054
250,0.9999646920584808
250,0.9992681149725152
250,0.9991313960525481
250,0.9966480500649637
250,0.9999614339461098
250,0.999748069878499
250,0.9873356802527233
250,0.9999019114152481
250,0.9987190324244215
250,0.9997745347379445
250,0.995845747820359
500,0.9998527869624527
500,0.9995317637682355
500,0.9989683635956069
500,0.9999342047179655
500,0.9998656036841219
500,0.9967405469271766
500,0.9957554639412118
