variable,value
20,0.995898096917903
20,0.9936723742317801
20,0.9992908914262073
20,0.9994953866859826
20,0.9973031434936424
20,0.9994475187860898
20,0.9999349983062985
20,0.9996705061199367
20,0.9992994146494577
20,0.9999475810627599
20,0.9996958548998008
20,0.9995045086154024
20,0.9995715755142519
20,0.9998094595070489
20,0.9998433453427301
20,0.9999871916085054
20,0.9996222425075701
20,0.9993420280222362
20,0.589350585110687
20,0.9999338587962373
20,0.9970038527226495
20,0.9992332626354768
20,0.9987649637582865
20,0.6603813949962852
20,0.999972564386009
20,0.9947177424197684
20,0.9980863569098659
20,0.9994519747993054
20,0.9983384521178728
20,0.9997854716189156
20,0.6676214428684102
20,0.9996529552324539
20,0.9608266433251237
20,0.9994944643234196
20,0.9997770532048927
20,0.99908750767076
20,0.9985866570312413
20,0.9999323582208284
20,0.9998805319662523
20,0.9999172637280223
20,0.9959510495951862
20,0.9972402855710857
20,0.9881491872372355
20,0.9999256624598648
20,0.9942771067236298
20,0.999796427291575
20,0.9886986618530124
20,0.9978490120327532
20,0.9997668353973594
20,0.9992023170036972
50,0.9878221309996646
50,0.9872680140374906
50,0.9999006151881683
50,0.9822492810939134
50,0.9995239286676048
50,0.9982012373066136
50,0.9997161580890374
50,0.9996295031734498
50,0.9999338697667798
50,0.999402704304101
50,0.9891764802814227
50,0.9997074579251052
50,0.999971469376922
50,0.9997666444084312
50,0.9999214956110077
50,0.940323890673027
50,0.9972296980199912
50,0.9986784797248999
50,0.9933172878504736
50,0.9991412473697754
50,0.9985595273617804
50,0.9992688540626867
50,0.9997777197003763
50,0.999615065066868
50,0.9999377138962905
50,0.9994653781847801
50,0.9998580850000099
50,0.7470123090773382
50,0.9997844597109048
50,0.9998005439529047
50,0.9996581055811504
50,0.9998802800975558
50,0.9996302396588691
50,0.9957910074719429
50,0.9975991455299023
50,0.9999718443274268
50,0.9996895700232693
50,0.9994799234027317
50,0.9964147348441603
50,0.999879929884147
50,0.9997060851983501
50,0.992088217582895
50,0.9992061311474322
50,0.9996215565125911
50,0.999538894920461
50,0.9999426316388448
50,0.9969625345239593
50,0.9549212055382256
50,0.9789257719972166
50,0.999895678344896
100,0.9999388908685771
100,0.9989238853684712
100,0.9998991713798049
100,0.999768834163082
100,0.9991405564357004
100,0.9966765004972321
100,0.9830330031308232
100,0.9999334103089657
100,0.9020816573185594
100,0.9996794490860018
100,0.9997360599449676
100,0.9991912885712766
100,0.9998916668173448
100,0.8767780974576668
100,0.9858658591075564
100,0.8541500321542193
100,0.9998152225759535
100,0.9942298378579653
100,0.9997197116903405
100,0.999434463119692
100,0.9996373883352443
100,0.9996539035811324
100,0.9999352936845722
100,0.9999060557795486
100,0.9998002803264214
100,0.9998407957933982
100,0.9994150538119938
100,0.99994585200262
100,0.9999320367043711
100,0.9996725715188628
100,0.999983299110119
100,0.9999719955064794
100,0.9997286629984996
100,0.9999374724505627
100,0.999848037470233
100,0.9999269482770463
100,0.6211776782475474
100,0.9974200670666225
100,0.999528681627794
100,0.9983203811045724
100,0.9992880788217798
100,0.9983655655447619
